designation,quantite,prix_achat,cout_revient_pourcentage,cout_revient,prix_gros_pourcentage,prix_gros,prix_vente_pourcentage,prix_vente,
انوكس CKDRAIN 50 شيفون,0.00,165,2,168.3,10,181.5,25,206.25,165
اسود CKDRAIN 50 شيفون,8.00,200,2,204,10,220,25,250,200
اسود AQUA ZONE 50 شيفون,16.00,235,2,239.7,10,258.5,25,293.75,235
دهبي AQUA ZONE 60 شيفون,6.00,250,2,255,10,275,25,312.5,250
برونز AQUA ZONE 60 شيفون,0.00,250,2,255,10,275,25,312.5,250
انوكس MESATEKNIK 60 شيفون,-1.00,430,2,438.6,10,473,25,537.5,430
اسود CKDRAIN 60 شيفون,2.00,220,2,224.4,10,242,25,275,220
شيفون 60 DUSCHAL اسود رقيق,-7.00,470,2,479.4,10,517,25,587.5,470
اسود AQUA ZONE 60 شيفون,2.00,235,2,239.7,10,258.5,25,293.75,235
انوكس Floordrain 10*10 شيفون,0.00,56,2,57.12,10,61.6,25,70,56
اسود Floordrain 10*10 شيفون,-7.00,60,2,61.2,10,66,25,75,60
انوكس RAVENA 10*10 شيفون,-43.00,67,2,68.34,10,73.7,25,83.75,67
انوكس VESKO 10*10 شيفون,7.00,58,2,59.16,10,63.8,25,72.5,58
انوكس METALLIC 10*10 شيفون,8.00,58,2,59.16,10,63.8,25,72.5,58
انوكس Stainless anti-foul 10*10 يفون,9.00,34,2,34.68,10,37.4,25,42.5,34
شيفون DORADO لافابو انوكس,0.00,70,2,71.4,10,77,25,87.5,70
شيفون MILLER AQUA لافابو انوكس,-10.00,36,2,36.72,10,39.6,25,45,36
شيفون MILLER AQUA لافابو دهبي,5.00,40,2,40.8,10,44,25,50,40
شيفون MILLER AQUA لافابو اسود,0.00,38,2,38.76,10,41.8,25,47.5,38
شيفون PVC 1m ايطالي,-3.00,130,2,132.6,10,143,25,162.5,130
PVC 25*25 شيفون,10.00,90,2,91.8,10,99,25,112.5,90
شيفون 1m كارفانيزي,4.00,120,2,122.4,10,132,25,150,120
Fugabella Color 01,31.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 02,22.00,79,2,80.58,10,86.9,25,98.75,79
Fugabella Color 03,19.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 04,17.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 05,5.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 06,11.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 07,-7.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 08,18.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 09,21.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 10,24.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 11,42.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 12,21.00,119,2,121.38,10,130.9,25,148.75,119
Fugabella Color 13,25.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 14,13.00,129,2,131.58,10,141.9,25,161.25,129
Fugabella Color 15,7.00,117,2,119.34,10,128.7,25,146.25,117
Fugabella Color 16,2.00,247,2,251.94,10,271.7,25,308.75,247
Fugabella Color 17,24.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 18,18.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 19,19.00,119,2,121.38,10,130.9,25,148.75,119
Fugabella Color 20,22.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 21,11.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 22,21.00,93,2,94.86,10,102.3,25,116.25,93
Fugabella Color 23,22.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 24,22.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 25,28.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 26,18.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 27,35.00,129,2,131.58,10,141.9,25,161.25,129
Fugabella Color 28,20.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 29,14.00,93,2,94.86,10,102.3,25,116.25,93
Fugabella Color 30,25.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 31,28.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 32,21.00,93,2,94.86,10,102.3,25,116.25,93
Fugabella Color 33,16.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 34,42.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 35,24.00,102,2,104.04,10,112.2,25,127.5,102
Fugabella Color 36,14.00,102,2,104.04,10,112.2,25,127.5,102
Fugabella Color 37,19.00,92,2,93.84,10,101.2,25,115,92
Fugabella Color 38,23.00,117,2,119.34,10,128.7,25,146.25,117
Fugabella Color 39,24.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 40,25.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 41,38.00,119,2,121.38,10,130.9,25,148.75,119
Fugabella Color 42,17.00,119,2,121.38,10,130.9,25,148.75,119
Fugabella Color 43,7.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 44,4.00,99,2,100.98,10,108.9,25,123.75,99
Fugabella Color 45,16.00,93,2,94.86,10,102.3,25,116.25,93
Fugabella Color 46,16.00,94,2,95.88,10,103.4,25,117.5,94
Fugabella Color 47,25.00,93,2,94.86,10,102.3,25,116.25,93
Fugabella Color 48,19.00,93,2,94.86,10,102.3,25,116.25,93
Fugabella Color 49,19.00,102,2,104.04,10,112.2,25,127.5,102
Fugabella Color 50,4.00,129,2,131.58,10,141.9,25,161.25,129
شيفون 20 BOMAX انوكس,-3.00,75,2,76.5,10,82.5,25,93.75,75
تعمرة ملح مربعة,38.00,94,2,95.88,10,103.4,25,117.5,94
بسط مرمو بيضة,158.00,28,2,28.56,10,30.8,25,35,28
بسط مرمو اسود,-8.00,30,2,30.6,10,33,25,37.5,30
تعمرة ملح مثلث,31.00,80,2,81.6,10,88,25,100,80
تعمرة كوملاط اخضر,26.00,75,2,76.5,10,82.5,25,93.75,75
تعمرة حجر 00,55.00,18,2,18.36,10,19.8,25,22.5,18
تعمرة حجر 03,10.00,18,2,18.36,10,19.8,25,22.5,18
تعمرة حجر 60 حمراء,84.00,19,2,19.38,10,20.9,25,23.75,19
تعمرة حجر 4,33.00,18,2,18.36,10,19.8,25,22.5,18
تعمرة حجر 2,38.00,18,2,18.36,10,19.8,25,22.5,18
تعمرة حجر 4 مربع,14.00,33,2,33.66,10,36.3,25,41.25,33
تعمرة حجر 3 مربع,22.00,33,2,33.66,10,36.3,25,41.25,33
تعمرة حجر 2 مربع,23.00,33,2,33.66,10,36.3,25,41.25,33
تعمرة حجر 1 مربع,9.00,33,2,33.66,10,36.3,25,41.25,33
تعمرة حجر 00 مربع,4.00,38,2,38.76,10,41.8,25,47.5,38
تعمرة حجر كوملاط 800 مربع,8.00,90,2,91.8,10,99,25,112.5,90
مكينة زليج 60 مليطة خضراء,4.00,550,2,561,10,605,25,687.5,550
VIKTA TOP 1.20 مكينة زليج,-1.00,890,2,907.8,10,979,25,1112.5,890
مكينة زليج 1.20 VELAR كري,2.00,670,2,683.4,10,737,25,837.5,670
Slim orange 3.80 مكينة زليج,3.00,1250,2,1275,10,1375,25,1562.5,1250
مكينة زليج slim لامون,2.00,3700,2,3774,10,4070,25,4625,3700
DOTCHTEk 1.20 مكينة زليج,2.00,790,2,805.8,10,869,25,987.5,790
مكينة زليج 1.20 يد احمر,2.00,3100.00,2,3162,10,3410,25,3875,3100
مكينة زليج 63 rubi,4.00,796,2,811.92,10,875.6,25,995,796
orange 63 مكينة زليج,0.00,320,2,326.4,10,352,25,400,320
WELLOO 60 مكينة زليج,1.00,600,2,612,10,660,25,750,600
RUBI 3.60m فنطوزة,1.00,6500,2,6630,10,7150,25,8125,6500
SLIM RUBI SLAB SYSTEM مكينة زليج,2.00,7000.00,2,7140,10,7700,25,8750,7000
مكينة زليج 1.20 FANANS الومنيوم,1.00,1300.00,2,1326,10,1430,25,1625,1300
فرطاس البناء صغير,274.00,5,2,5.1,10,5.5,25,6.25,5
فرطاس البناء كبير,6.00,8,2,8.16,10,8.8,25,10,8
فرطاس كريفي,5.00,6,2,6.12,10,6.6,25,7.5,6
شطابة كوكو,-258.00,10,2,10.2,10,11,25,12.5,10
رولو صمطة لومبلاج اخضر,2.00,470,2,479.4,10,517,25,587.5,470
xcort 3600W 80L سبيراطور,1.00,2550.00,2,2601,10,2805,25,3187.5,2550
xcort 2200W 50L سبيراطور,4.00,1200.00,2,1224,10,1320,25,1500,1200
xcort 2000W 30L سبيراطور,2.00,800,2,816,10,880,25,1000,800
بريسيون الماء XCORT 1600W,1.00,900,2,918,10,990,25,1125,900
5kg flincot فلينكوط,55.00,33,2,33.66,10,36.3,25,41.25,33
SIKA FIBRE فيبرى,-68.00,54,2,55.08,10,59.4,25,67.5,54
Sika Dur 31 Colle M,4.00,177,2,180.54,10,194.7,25,221.25,177
Sika Latex 2L سيك حليب,114.00,122,2,124.44,10,134.2,25,152.5,122
Sika Latex 5L سيك حليب,-93.00,272,2,277.44,10,299.2,25,340,272
5L ATLAS دلوان,17.00,115,2,117.3,10,126.5,25,143.75,115
5L WARACHE دلوان,2.00,90,2,91.8,10,99,25,112.5,90
5L RAMACOLOR دلوان,11.00,90,2,91.8,10,99,25,112.5,90
ماء قاطع 5L,21.00,38,2,38.76,10,41.8,25,47.5,38
WHITE SPIRIT 5L وايت سبيريت,5.00,90,2,91.8,10,99,25,112.5,90
LAGARTO 1L SPAIN ماء قاطع,-70.00,13,2,13.26,10,14.3,25,16.25,13
FUGABELLA ECO 01,26.00,74,2,75.48,10,81.4,25,92.5,74
FUGABELLA ECO 02,6.00,82,2,83.64,10,90.2,25,102.5,82
FUGABELLA ECO 03,16.00,82,2,83.64,10,90.2,25,102.5,82
FUGABELLA ECO 04,6.00,82,2,83.64,10,90.2,25,102.5,82
FUGABELLA ECO 05,13.00,80,2,81.6,10,88,25,100,80
FUGABELLA ECO 06,-7.00,84,2,85.68,10,92.4,25,105,84
FUGABELLA ECO 07,5.00,84,2,85.68,10,92.4,25,105,84
FUGABELLA ECO 08,6.00,80,2,81.6,10,88,25,100,80
FUGABELLA ECO 09,11.00,84,2,85.68,10,92.4,25,105,84
FUGABELLA ECO 10,16.00,80,2,81.6,10,88,25,100,80
FUGABELLA ECO 11,15.00,82,2,83.64,10,90.2,25,102.5,82
FUGABELLA ECO 12,18.00,80,2,81.6,10,88,25,100,80
FUGABELLA ECO 13,9.00,82,2,83.64,10,90.2,25,102.5,82
transparent سيليكون عادي,-782.00,9,2,9.18,10,9.9,25,11.25,9
سيليكون عادي blanc,275.00,10,2,10.2,10,11,25,12.5,10
سيليكون عادي noir,388.00,10,2,10.2,10,11,25,12.5,10
Olive universal blanc سيليكون,-1.00,20,2,20.4,10,22,25,25,20
MULTI-USAGE BLANC سيليكون,10.00,12,2,12.24,10,13.2,25,15,12
MULTI-USAGE TRANSPARENT ون,49.00,12,2,12.24,10,13.2,25,15,12
FUGABELLA ECO 20,165.00,82,2,83.64,10,90.2,25,102.5,82
FUGABELLA ECO 21,2.00,294,2,299.88,10,323.4,25,367.5,294
Selsil 05 BLANC سيليكون,27.00,35,2,35.7,10,38.5,25,43.75,35
ONE BOND FIX BLANC سيليكون,246.00,32,2,32.64,10,35.2,25,40,32
FUGABELLA ECO 24,0.00,94,2,95.88,10,103.4,25,117.5,94
MONTAGEFIX-590 سيليكون,-17.00,38,2,38.76,10,41.8,25,47.5,38
POLYFLEX-422 GRIS سيليكون,92.00,37,2,37.74,10,40.7,25,46.25,37
FUGABELLA ECO 27,0.00,129,2,131.58,10,141.9,25,161.25,129
POLY LUX CRYSTAL سيليكون,1.00,55,2,56.1,10,60.5,25,68.75,55
FUGABELLA ECO 29,-2.00,319,2,325.38,10,350.9,25,398.75,319
FUGABELLA ECO 30,24.00,94,2,95.88,10,103.4,25,117.5,94
FUGABELLA ECO 31,30.00,85,2,86.7,10,93.5,25,106.25,85
FUGABELLA ECO 32,8.00,264,2,269.28,10,290.4,25,330,264
ماء قاطع 1L,-12.00,7,2,7.14,10,7.7,25,8.75,7
شبكة تلبيس بيضاء بلاستيك,108.00,130,2,132.6,10,143,25,162.5,130
شبكة تلبيس زرقاء بلاستيك,154.00,160,2,163.2,10,176,25,200,160
HIGHPOWER رولو فيبرى,2.50,350,2,357,10,385,25,437.5,350
LUCKY BIRD 50m رولو كوما ماء,4.00,210,2,214.2,10,231,25,262.5,210
متر كوما خطة ممتازة 10mm,127.65,3,2,3.06,10,3.3,25,3.75,3
متر كوما خطى 8,-101.00,2,2,2.04,10,2.2,25,2.5,2
m cable 2*1.5 ingelec متر كابلي,162.00,6,2,6.12,10,6.6,25,7.5,6
m cable 3*1.5 ingelec متر كابلي,83.00,8,2,8.16,10,8.8,25,10,8
عادي m cable 3*2.5 متر كابلي,235.00,5,2,5.1,10,5.5,25,6.25,5
عادي m cable 2*1.5 متر كابلي,61.00,2,2,2.04,10,2.2,25,2.5,2
رولو جكس النمر,2.00,80,2,81.6,10,88,25,100,80
شطابة طريق كبيرة,35.00,63,2,64.26,10,69.3,25,78.75,63
شطابة طريق صغيرة,63.00,53,2,54.06,10,58.3,25,66.25,53
كراطة الماء كبيرة,28.00,19,2,19.38,10,20.9,25,23.75,19
كراطة الماء صغيرة,40.00,9,2,9.18,10,9.9,25,11.25,9
شطابة طريق بلاستيك كبيرة,67.00,18,2,18.36,10,19.8,25,22.5,18
فنطرو ميني بروس ابيض,69.00,60,2,61.2,10,66,25,75,60
فنطرو ميني بروس اسود,14.00,60,2,61.2,10,66,25,75,60
شطابة ميني بروس رطبة,8.00,280,2,285.6,10,308,25,350,280
فنطرو ميني بروس احمر,29.00,60,2,61.2,10,66,25,75,60
سيبور ليخة ميني بروس,15.00,260,2,265.2,10,286,25,325,260
شطابة ميني بروس حرش,5.00,280,2,285.6,10,308,25,350,280
Sika Top 122 Reparation M,11.00,658,2,671.16,10,723.8,25,822.5,658
Sika Top 121 Surfacage M,10.00,520,2,530.4,10,572,25,650,520
VELAR بالة,24.00,32,2,32.64,10,35.2,25,40,32
عود شطابة لوح,178.00,9,2,9.18,10,9.9,25,11.25,9
"DANODREN H15 PLUS(37,8m2) ب",75.60,32,2,32.64,10,35.2,25,40,32
"danodren H15(58,8m2) ناج بدون ثوب",-67.80,23,2,23.46,10,25.3,25,28.75,23
MORCEM DRY SF 5KG,22.00,54,2,55.08,10,59.4,25,67.5,54
SIKA 543 BEIGE مستيك,-89.00,49,2,49.98,10,53.9,25,61.25,49
SIKA 543 BLANC مستيك,-65.00,49,2,49.98,10,53.9,25,61.25,49
SIKA 543 NOIR مستيك,-18.00,50,2,51,10,55,25,62.5,50
SIKA 543 GRIS مستيك,-91.00,49,2,49.98,10,53.9,25,61.25,49
SIKA 544 BLEU مستيك,-1.00,55,2,56.1,10,60.5,25,68.75,55
SIKA 544 MARRON مستيك,16.00,49,2,49.98,10,53.9,25,61.25,49
متر قنبة 6mm,"1  633,00",0,2,0,10,0,25,0,0
متر قنبة 4mm,"2  262,00",0,2,0,10,0,25,0,0
متر قنبة 16mm,280.00,3,2,3.06,10,3.3,25,3.75,3
بلينات 41,7.00,64,2,65.28,10,70.4,25,80,64
بلينات 40,14.00,64,2,65.28,10,70.4,25,80,64
بلينات 44,-16.00,63,2,64.26,10,69.3,25,78.75,63
جفاف اصفر,108.00,5,2,5.1,10,5.5,25,6.25,5
5L epoxy لاريزين,4.00,178,2,181.56,10,195.8,25,222.5,178
1L epoxy لاريزين,-4.00,39,2,39.78,10,42.9,25,48.75,39
بلينات 43,-1.00,63,2,64.26,10,69.3,25,78.75,63
20kg flincot فلينكوط,41.00,130,2,132.6,10,143,25,162.5,130
رويدة برويطة,-1.00,45,2,45.9,10,49.5,25,56.25,45
رويدة مكينة ممتازة,24.00,120,2,122.4,10,132,25,150,120
رويدة مكينة عادية,4.00,51,2,52.02,10,56.1,25,63.75,51
H7070 Transparent سيليكون,-6.00,37,2,37.74,10,40.7,25,46.25,37
Tetra Fix Crystal سيليكون,-2.00,90,2,91.8,10,99,25,112.5,90
Tetra Fix Blanc سيليكون,8.00,71,2,72.42,10,78.1,25,88.75,71
Tetra Fix Gris سيليكون,24.00,71,2,72.42,10,78.1,25,88.75,71
Sika Anchofix سيليكون,-95.00,192,2,195.84,10,211.2,25,240,192
سيليكون بيطون INDEX MO-P,-33.00,68,2,69.36,10,74.8,25,85,68
POLY LUX NOIR سيليكون,-3.00,55,2,56.1,10,60.5,25,68.75,55
INGCO HCG1709 فردي سيليكون,24.00,49,2,49.98,10,53.9,25,61.25,49
INGCO HCG0909 فردي سيليكون,46.00,37,2,37.74,10,40.7,25,46.25,37
فردي سيليكون احمر عادي,-5.00,15,2,15.3,10,16.5,25,18.75,15
Gargoui 125 كركويا,13.00,100,2,102,10,110,25,125,100
Gargoui 110 كركويا,16.00,85,2,86.7,10,93.5,25,106.25,85
Gargoui 100 كركويا,-12.00,85,2,86.7,10,93.5,25,106.25,85
Gargoui 75 كركويا,10.00,65,2,66.3,10,71.5,25,81.25,65
Gargoui 50 كركويا,18.00,45,2,45.9,10,49.5,25,56.25,45
اسود SINKON 47*76 لافابو,1.00,1750.00,2,1785,10,1925,25,2187.5,1750
اسود SINKON 47*52 لافابو,1.00,1600.00,2,1632,10,1760,25,2000,1600
لافابو دوبل 97*52 SINKON اسود,3.00,1900.00,2,1938,10,2090,25,2375,1900
ARENA 45*55 لافابو,0.00,650,2,663,10,715,25,812.5,650
PYRAMED INOX 60*45 لافابو,3.00,530,2,540.6,10,583,25,662.5,530
SINKON 40*45 لافابو,1.00,280,2,285.6,10,308,25,350,280
APELL 3 سلوم,2.00,186,2,189.72,10,204.6,25,232.5,186
اسود EUROSTEP LEO 3 سلوم,1.00,150,2,153,10,165,25,187.5,150
APELL 8 سلوم,1.00,496,2,505.92,10,545.6,25,620,496
PERFIL ACERO CUADRADO 12 INO,3.00,101,2,103.02,10,111.1,25,126.25,101
PERFIL ALUMINIO CUADRADO 11,42.00,68,2,69.36,10,74.8,25,85,68
PERFIL ACERO RECTO 12 INOX BR,15.00,83,2,84.66,10,91.3,25,103.75,83
PERFIL ALUMINIO CUADRADO 12.,33.00,60,2,61.2,10,66,25,75,60
PERFIL ACERO CUADRADO 12 INO,30.00,101,2,103.02,10,111.1,25,126.25,101
PERFIL ALUMINIO RECTO 12 ORO,48.00,60,2,61.2,10,66,25,75,60
PERFIL ACERO CUADRADO 12 INO,10.00,94,2,95.88,10,103.4,25,117.5,94
PERFIL ALUMINIO CUADRADO 11,10.00,68,2,69.36,10,74.8,25,85,68
PERFIL ACERO CUADRADO 12 INO,-1.00,94,2,95.88,10,103.4,25,117.5,94
PERFIL ALUMINIO CUADRADO 11,24.00,68,2,69.36,10,74.8,25,85,68
PERFIL ALUMINIO CUADRADO 11,26.00,68,2,69.36,10,74.8,25,85,68
PERFIL ALUMINIO CUADRADO 12.,50.00,60,2,61.2,10,66,25,75,60
PERFIL ALUMINIO CUADRADO 12.,4.00,60,2,61.2,10,66,25,75,60
PERFIL ALUMINIO RECTO 12 NEG,25.00,60,2,61.2,10,66,25,75,60
PERFIL ALUMINIO CLASSIC 10.5 O,48.00,60,2,61.2,10,66,25,75,60
PERFIL ALUMINIO RECTO 12 BRO,40.00,60,2,61.2,10,66,25,75,60
PERFIL ALUMINIO CLASSIC 10.5,29.00,60,2,61.2,10,66,25,75,60
PERFIL ACERO BASIC CUADRAD,46.00,94,2,95.88,10,103.4,25,117.5,94
PERFIL ALUMINIO RECTO 12 NEG,46.00,60,2,61.2,10,66,25,75,60
PERFIL ALUMINIO CUADRADO 12.,21.00,60,2,61.2,10,66,25,75,60
PERFIL PELDANO ALUMINIO 10 P,-18.00,83,2,84.66,10,91.3,25,103.75,83
PERFIL PELDANO ACERO M-13 L,7.00,150,2,153,10,165,25,187.5,150
بكيط زليج مدور عادي,-104.00,9,2,9.18,10,9.9,25,11.25,9
بكيط زليج مدور ممتاز,500.00,19,2,19.38,10,20.9,25,23.75,19
بكيط زليج مربع 1cm,85.00,28,2,28.56,10,30.8,25,35,28
بكيط زليج مدور اسود,51.00,26,2,26.52,10,28.6,25,32.5,26
ركلة 2m,24.00,72,2,73.44,10,79.2,25,90,72
2.5m ركلة,34.00,90,2,91.8,10,99,25,112.5,90
ركلة 3m,50.00,108,2,110.16,10,118.8,25,135,108
بكيط جبص بلاستيك,-17.00,6,2,6.12,10,6.6,25,7.5,6
بكيط شبكة تلبيس كارفانيزي,34.00,7,2,7.14,10,7.7,25,8.75,7
بروفيل ليد كرومي led chromie,5.00,65,2,66.3,10,71.5,25,81.25,65
بروفيل ليد اسود led noir,49.00,58,2,59.16,10,63.8,25,72.5,58
طوبو رواق 1.6m,0.00,60,2,61.2,10,66,25,75,60
طوبو رواق 2m,0.00,75,2,76.5,10,82.5,25,93.75,75
طوبو رواق 2.5M,0.00,94,2,95.88,10,103.4,25,117.5,94
بكيط قنت انوكس منقوش,34.00,70,2,71.4,10,77,25,87.5,70
بكيط قنت انوكس حسبي,17.00,65,2,66.3,10,71.5,25,81.25,65
